,,close,high,low,open,volume
IQ,5/14/2019,20.32,20.46,19.88,20.31,8250538
IQ,5/15/2019,20.27,20.4,19.84,20.14,8936694
TWLO,3/15/2019,129.41,130.72,127.44,129.19,3593027
TWLO,3/18/2019,129.35,133.32,127.16,131.3,3785434
TWLO,3/19/2019,130.38,131.76,128.57,130.12,3247140
TWLO,3/20/2019,130.65,132.39,127.68,130.1,2772561
TWLO,3/21/2019,135.66,136,130.02,130.18,3838373
TWLO,3/22/2019,129.53,135.7872,128.6601,135,4193933
TWLO,3/25/2019,131.55,132.89,127.27,129.52,4337133
TWLO,3/26/2019,131.87,134.85,130.47,133.51,2608140
TWLO,3/27/2019,126.48,132.5767,124.62,132.4,4029987
TWLO,3/28/2019,125.73,128.37,124.12,127.65,3610295
TWLO,3/29/2019,129.18,130.72,126.14,127.15,3286395
TWLO,04/01/2019,127.67,131.95,125.32,131.58,3895862
TWLO,04/02/2019,129.79,130,125.88,127.01,2379823
TWLO,04/03/2019,129.38,131.65,128.6,130.52,1833856
TWLO,04/04/2019,122.37,130.23,118.48,129.92,7238289
TWLO,04/05/2019,122.42,123.91,120.54,123.15,4574211
TWLO,04/08/2019,122.12,122.4,119.1,121.67,2707087
TWLO,04/09/2019,122.7,124.93,121.585,122.23,2842091
TWLO,04/10/2019,125.22,125.79,122.4301,123.44,2188756
TWLO,04/11/2019,125.7,126.47,123.1,125.8,1875911
TWLO,04/12/2019,125.72,126.75,123.5974,126.26,2454947
TWLO,4/15/2019,127.19,127.78,123.81,125.3,2375359
TWLO,4/16/2019,126.56,130.15,125.96,126.75,2843513
TWLO,4/17/2019,123.08,127.35,121.6,127.2,2732515
TWLO,4/18/2019,122.13,123,118.56,122.3,4225517
TWLO,4/22/2019,127.96,128.3,121.53,122,2723663
TWLO,4/23/2019,129.27,130.31,126.9402,129.16,2988078
TWLO,4/24/2019,129.99,131.2,128.675,130.1,2192351
TWLO,4/25/2019,132.25,134.37,129.53,131.23,2893038
TWLO,4/26/2019,134.92,135.19,131.01,133,2846216
TWLO,4/29/2019,135.99,137.4,134.34,135.9,3666530
TWLO,4/30/2019,137.14,137.19,132.01,134.1,5250281
TWLO,05/01/2019,128.57,142.2,128.2101,142.2,14134120
TWLO,05/02/2019,131.94,134.38,126.75,127.78,5990310
TWLO,05/03/2019,130.87,132.26,129.02,131.94,3793818
TWLO,05/06/2019,131.8,132.28,126.8,127.04,4062804
TWLO,05/07/2019,129.58,132.94,127.54,132.34,4567876
TWLO,05/08/2019,131.66,132.946,128.3787,129,2982738
TWLO,05/09/2019,133.13,133.25,126.82,130.68,3957837
TWLO,05/10/2019,134.28,136.34,130.1434,132.6,4840140
TWLO,5/13/2019,123.39,131.99,122.56,130.9,7305183
TWLO,5/14/2019,131.08,131.1517,124.2182,126,5825658
TWLO,5/15/2019,135.45,135.5,127.82,127.82,5056032
CRM,3/15/2019,161.51,162.18,159.19,160.64,6743790
CRM,3/18/2019,161.95,163.33,160.8799,161.4,3575800
CRM,3/19/2019,163.93,164.62,161.6,162.52,4378959
CRM,3/20/2019,163.51,164.95,161.51,163.84,4391046
CRM,3/21/2019,166.95,166.99,162.75,163.17,4277816
CRM,3/22/2019,161.5,166.49,161.35,165.96,5614288
CRM,3/25/2019,160.88,161.5988,159.2241,160.23,3795625
CRM,3/26/2019,159.4,162.07,157.39,161.43,6910264
CRM,3/27/2019,155.12,159.3,152.37,159,8218682
CRM,3/28/2019,155.18,156.48,153.51,155.69,4424829
CRM,3/29/2019,158.37,158.5,155.425,156.87,4913087
CRM,04/01/2019,161.18,161.68,158.5111,160.1,4601126
CRM,04/02/2019,160.51,160.99,158.91,160.86,3158591
CRM,04/03/2019,162.62,163.14,160.65,161.78,3819829
CRM,04/04/2019,158.52,162.8,155.83,162.71,6295218
CRM,04/05/2019,158.56,160.24,158.02,159.63,4315403
CRM,04/08/2019,158.47,158.79,156.45,158.4,2848571
CRM,04/09/2019,156.97,158.3525,156.65,157.04,5642884
CRM,04/10/2019,160.24,160.38,157.65,158.2,3414745
CRM,04/11/2019,160.73,160.83,159.02,160.16,2578390
CRM,04/12/2019,160.71,162.5,159.5,162,2844167
CRM,4/15/2019,160.09,162.031,159.49,161,2608365
CRM,4/16/2019,158.69,160.26,157.7501,160.04,3004836
CRM,4/17/2019,155.34,159.05,155.07,159.05,4765519
CRM,4/18/2019,155.99,156.2078,153.17,154.9,4391704
CRM,4/22/2019,158.76,159.14,155.28,155.45,2943629
CRM,4/23/2019,161.23,161.4,158.41,159.76,3418371
CRM,4/24/2019,159.56,162.49,159.4,161.88,3384945
CRM,4/25/2019,163.09,163.89,161,162,5498432
CRM,4/26/2019,165.96,166.06,161.28,162.42,3343064
CRM,4/29/2019,165.36,167.56,165.33,166.71,4509669
CRM,4/30/2019,165.35,166.44,163.62,165.19,3581801
CRM,05/01/2019,162.15,166.22,162.14,166.01,2707730
CRM,05/02/2019,161.83,162.7,159.63,161.69,3181073
CRM,05/03/2019,163.34,163.5,160.86,162.58,3131437
CRM,05/06/2019,162.5,162.84,157.86,158.62,2520943
CRM,05/07/2019,156.9,161.67,154.75,161.33,6541888
CRM,05/08/2019,156.86,157.93,155.04,157.11,4061339
CRM,05/09/2019,156.31,157.1,152.3888,154.65,5809346
CRM,05/10/2019,159.94,160.614,154.38,156.28,4462213
CRM,5/13/2019,153.15,156.9,152.78,154.92,5694582
CRM,5/14/2019,158.07,158.59,152.92,155.05,4954034
CRM,5/15/2019,155.06,156.38,151.7,153.82,7783774
INFN,3/15/2019,4.77,4.93,4.75,4.77,3966980
INFN,3/18/2019,4.79,4.87,4.72,4.77,2666774
INFN,3/19/2019,4.69,4.82,4.65,4.81,2911613
INFN,3/20/2019,4.53,4.65,4.51,4.64,3336881
INFN,3/21/2019,4.52,4.59,4.465,4.51,1898428
INFN,3/22/2019,4.32,4.54,4.24,4.49,5058325
INFN,3/25/2019,4.35,4.36,4.19,4.31,4527332
INFN,3/26/2019,4.32,4.39,4.2,4.37,3008287
INFN,3/27/2019,4.23,4.4,4.21,4.33,2396732
INFN,3/28/2019,4.31,4.34,4.21,4.23,3434015
INFN,3/29/2019,4.34,4.37,4.24,4.36,1904506
INFN,04/01/2019,4.52,4.54,4.3,4.36,2341304
INFN,04/02/2019,4.56,4.64,4.51,4.51,2254401
INFN,04/03/2019,4.64,4.76,4.61,4.62,1490091
INFN,04/04/2019,4.72,4.77,4.61,4.63,1424447
INFN,04/05/2019,4.69,4.79,4.66,4.74,1225099
INFN,04/08/2019,4.73,4.73,4.615,4.66,1116895
INFN,04/09/2019,4.68,4.76,4.64,4.7,1533204
INFN,04/10/2019,4.75,4.76,4.64,4.66,1176499
INFN,04/11/2019,4.71,4.78,4.655,4.77,884140
INFN,04/12/2019,4.91,4.94,4.5316,4.56,3584361
INFN,4/15/2019,5.03,5.08,4.86,4.93,2115295
INFN,4/16/2019,5,5.04,4.79,5.02,2442619
INFN,4/17/2019,4.99,5.125,4.9,5.04,3107752
INFN,4/18/2019,4.84,5.04,4.82,4.98,2171433
INFN,4/22/2019,4.71,4.85,4.685,4.82,2297441
INFN,4/23/2019,4.64,4.74,4.62,4.71,2034445
INFN,4/24/2019,4.55,4.67,4.53,4.64,1670993
INFN,4/25/2019,4.42,4.525,4.33,4.52,2814306
INFN,4/26/2019,4.29,4.42,4.27,4.41,2861540
INFN,4/29/2019,4.37,4.47,4.27,4.32,3070303
INFN,4/30/2019,4.34,4.375,4.2,4.34,3110930
INFN,05/01/2019,4.32,4.49,4.3,4.35,1996454
INFN,05/02/2019,4.31,4.405,4.245,4.32,1251615
INFN,05/03/2019,4.43,4.44,4.26,4.32,2507931
INFN,05/06/2019,4.41,4.43,4.16,4.28,4795300
INFN,05/07/2019,4.25,4.4325,4.23,4.41,3206956
INFN,05/08/2019,4.42,4.52,4.18,4.26,4917725
INFN,05/09/2019,3.24,3.7,3.11,3.66,15665047
INFN,05/10/2019,3.24,3.27,3.1,3.27,3940551
INFN,5/13/2019,3.16,3.255,3.125,3.18,3256154
INFN,5/14/2019,3.13,3.2,3.08,3.17,4683772
INFN,5/15/2019,3.2,3.37,3.195,3.2,3434019
XLNX,3/15/2019,123.7641,124.9053,122.6727,123.0365,5504822
XLNX,3/18/2019,124.8705,125.4984,123.8139,123.8139,3114550
XLNX,3/19/2019,126.6446,126.8739,125.2392,125.6878,2674077
XLNX,3/20/2019,125.8971,127.3879,125.319,125.7276,2682927
XLNX,3/21/2019,129.6249,130.1432,125.7775,126.1164,3839079
XLNX,3/22/2019,126.4752,129.5352,125.7974,129.3857,3047852
XLNX,3/25/2019,123.7242,125.8373,122.0497,125.7575,3914570
XLNX,3/26/2019,126.216,126.7044,124.9701,125.2392,2544339
XLNX,3/27/2019,124.7309,126.9337,123.3853,126.5848,2101354
XLNX,3/28/2019,126.1562,127.6513,125.0897,125.4984,2513572
XLNX,3/29/2019,126.3755,128.797,125.4984,128.2294,4083013
XLNX,04/01/2019,129.3059,129.5451,127.8806,128.4587,3872696
XLNX,04/02/2019,128.668,129.8449,128.0002,129.575,2668617
XLNX,04/03/2019,128.1497,130.2202,127.1031,129.6847,3458735
XLNX,04/04/2019,127.4022,129.4085,126.4054,128.2892,2798477
XLNX,04/05/2019,128.658,128.987,127.5317,128.3889,2003870
XLNX,04/08/2019,129.4754,129.585,126.9337,128.6481,2128514
XLNX,04/09/2019,128.5085,129.7245,127.2427,128.8773,2641255
XLNX,04/10/2019,131.1598,132.635,128.6182,128.987,4153656
XLNX,04/11/2019,131.6383,132.0779,130.2019,130.9804,1663532
XLNX,04/12/2019,133.9706,134.0404,132.0669,132.6649,3030539
XLNX,4/15/2019,133.6218,134.9374,133.0138,133.9706,2771478
XLNX,4/16/2019,134.5387,135.3062,132.9539,134.2896,3051682
XLNX,4/17/2019,135.376,136.7814,134.2198,135.5554,2539533
XLNX,4/18/2019,134.5088,135.9392,132.4935,135.5554,4030901
XLNX,4/22/2019,134.0005,135.2463,132.944,134.5587,1984427
XLNX,4/23/2019,136.7017,137.0106,134.3095,134.5587,3455231
XLNX,4/24/2019,139.2633,141.1371,136.3628,137.0007,8556397
XLNX,4/25/2019,115.4813,126.1861,114.8732,125.937,24053879
XLNX,4/26/2019,118.5412,118.91,109.9494,115.1424,14285616
XLNX,4/29/2019,116.6973,118.5412,115.4613,118.1625,5266296
XLNX,4/30/2019,119.7473,120.0263,116.6175,116.7471,4739424
XLNX,05/01/2019,116.2587,121.352,116.0594,120.6045,4833518
XLNX,05/02/2019,118.5113,119.1991,115.9697,116.2587,3503150
XLNX,05/03/2019,118.6309,119.4881,117.5086,119.3585,3255708
XLNX,05/06/2019,118.4216,118.4814,113.3183,114.6241,3316829
XLNX,05/07/2019,117.4249,119.0047,116.0921,117.5146,5389978
XLNX,05/08/2019,117.3053,118.92,116.3285,117.4249,3223174
XLNX,05/09/2019,116.3185,117.3651,114.2254,115.6009,3565387
XLNX,05/10/2019,116.5378,118.7256,114.7536,116.0594,3770369
XLNX,5/13/2019,110.2783,114.0759,109.4211,113.5177,5779049
XLNX,5/14/2019,112.81,113.5775,111.1953,111.6737,3411738
XLNX,5/15/2019,114.45,115.65,111.31,111.52,3902007
MCHP,3/15/2019,86.1,86.89,84.34,84.69,3015117
MCHP,3/18/2019,85.33,86.435,84.76,85.95,2291928
MCHP,3/19/2019,86.1,86.335,85.45,85.7,1707246
MCHP,3/20/2019,84.28,86.72,83.67,86.26,1607400
MCHP,3/21/2019,87.38,87.69,84.22,84.22,1733222
MCHP,3/22/2019,85.42,87.35,85.4,86.71,2017324
MCHP,3/25/2019,83.82,85.26,83.01,84.88,1926270
MCHP,3/26/2019,84.25,85.41,83.79,84.66,1301066
MCHP,3/27/2019,81.37,84.71,81.15,84.3,3455794
MCHP,3/28/2019,81.15,82.39,80.03,81.55,2993848
MCHP,3/29/2019,82.96,83.24,81.95,82.07,2613231
MCHP,04/01/2019,87.46,87.63,84.11,84.14,4111511
MCHP,04/02/2019,87.72,87.865,86.51,87.43,4064902
MCHP,04/03/2019,90.3,91.36,88.6501,89.53,4248425
MCHP,04/04/2019,91.27,91.69,90.19,90.24,3506631
MCHP,04/05/2019,92.92,93.2,91.32,91.57,2874307
MCHP,04/08/2019,94.06,94.238,91.95,92.9,2774218
MCHP,04/09/2019,92.9,93.76,92.56,93.66,2481780
MCHP,04/10/2019,94.25,94.45,92.25,92.87,2255700
MCHP,04/11/2019,93.97,94.39,93.02,94.09,1885702
MCHP,04/12/2019,95.36,95.89,94.64,95.38,2087604
MCHP,4/15/2019,95.6,96.06,94.76,95.33,3185607
MCHP,4/16/2019,97.77,97.88,96.08,96.14,4933233
MCHP,4/17/2019,99.27,100.28,97.05,100.28,4527267
MCHP,4/18/2019,98.71,99.895,98.02,99.73,2411784
MCHP,4/22/2019,97.6,98.72,97.48,98.45,2524074
MCHP,4/23/2019,98.16,99.245,97.56,97.72,2304311
MCHP,4/24/2019,98.84,99.97,97.43,97.47,2262156
MCHP,4/25/2019,97.48,98.284,95.595,97.51,2217575
MCHP,4/26/2019,98.41,98.47,95.09,96,1478583
MCHP,4/29/2019,98.72,99.28,98.15,98.25,1295014
MCHP,4/30/2019,99.89,100.02,98.56,99.8,1967356
MCHP,05/01/2019,98.96,101.16,98.89,100.67,2596984
MCHP,05/02/2019,100.12,101.35,98.12,98.96,1963832
MCHP,05/03/2019,100.75,100.85,99.52,100.67,1377193
MCHP,05/06/2019,96.98,97.38,95.89,96.73,3766227
MCHP,05/07/2019,94.15,95.79,92.7,95.75,5712406
MCHP,05/08/2019,91.54,94.06,89.75,89.95,4226335
MCHP,05/09/2019,89.38,90.12,86.77,89.57,4517608
MCHP,05/10/2019,89.24,89.95,86.96,89.36,3322803
MCHP,5/13/2019,83.61,86.66,82.9,85.73,4840131
MCHP,5/14/2019,84.66,85,83.5,84.21,4228465
MCHP,5/15/2019,85.8,86.45,83.42,83.71,3396108
PAGS,3/15/2019,28.46,28.73,28.03,28.62,1567057
PAGS,3/18/2019,28.84,28.98,28.19,28.81,1089307
PAGS,3/19/2019,30.16,31.5,30,30,4341074
